band,OV,BRCA,ER,TRI
22_q11.21,0.450630106757857,1,1,1
22_q11.22,0.450630106757857,0.96898478929468,1,1
22_q11.23,0.450630106757857,0.814518143516133,0.834641022080267,1
22_q12.1,0.450630106757857,0.814518143516133,1,1
22_q12.2,0.2454747368111,1,1,1
22_q12.3,0.450630106757857,1,1,1
22_q13.1,0.450630106757857,1,1,1
22_q13.2,0.655354925357714,1,1,1
22_q13.31,1,1,1,1
22_q13.32,1,1,1,1
22_q13.33,1,1,1,1
2_p11.1,0.450630106757857,1,1,1
2_p11.2,0.450630106757857,1,1,1
2_p12,0.288492218877817,1,1,1
2_p13.1,0.2454747368111,1,1,1
2_p13.2,0.2454747368111,1,1,1
2_p13.3,0.288492218877817,1,1,1
2_p14,0.377960256493079,1,1,1
2_p15,0.200897321629785,0.814518143516133,1,1
2_p16.1,0.200897321629785,0.96898478929468,1,1
2_p16.2,0.200897321629785,0.96898478929468,1,1
2_p16.3,0.200897321629785,1,1,1
2_p21,0.200897321629785,1,1,1
2_p22.1,0.167793700698893,1,1,1
2_p22.2,0.200897321629785,1,1,1
2_p22.3,0.265598017803284,1,1,1
2_p23.1,0.265598017803284,1,1,1
2_p23.2,0.265598017803284,1,1,1
2_p23.3,0.450630106757857,1,1,1
2_p24.1,0.2454747368111,1,1,1
2_p24.2,0.200897321629785,1,1,1
2_p24.3,0.200897321629785,0.814518143516133,1,1
2_p25.1,0.200897321629785,0.456611245671844,1,1
2_p25.2,0.222124671381748,0.696718737724965,1,1
2_p25.3,0.377960256493079,0.696718737724965,1,1
2_q11.1,0.584623979550167,1,1,1
2_q11.2,0.377960256493079,1,1,1
2_q12.1,0.288492218877817,1,1,1
2_q12.2,0.288492218877817,1,1,1
2_q12.3,0.288492218877817,1,1,1
2_q13,0.377960256493079,1,1,1
2_q14.1,0.377960256493079,1,1,1
2_q14.2,0.377960256493079,1,1,1
2_q14.3,0.377960256493079,1,1,1
2_q21.1,0.288492218877817,1,1,1
2_q21.2,0.377960256493079,1,1,1
2_q21.3,0.377960256493079,1,1,1
2_q22.1,0.377960256493079,1,1,1
2_q22.2,0.377960256493079,1,1,1
2_q22.3,0.377960256493079,1,1,1
2_q23.1,0.584623979550167,1,1,1
2_q23.2,1,1,1,1
2_q23.3,1,1,1,1
2_q24.1,0.808954954141033,1,1,1
2_q24.2,1,1,1,1
2_q24.3,1,1,1,1
2_q31.1,1,1,1,1
2_q31.2,1,1,1,1
2_q31.3,1,0.96898478929468,1,1
2_q32.1,1,0.96898478929468,1,1
2_q32.2,1,1,1,1
2_q32.3,0.450630106757857,1,1,1
2_q33.1,0.489637057946806,1,1,1
2_q33.2,0.489637057946806,1,1,1
2_q33.3,0.490205170432677,0.814518143516133,1,1
2_q34,0.489637057946806,0.814518143516133,1,1
2_q35,0.489637057946806,0.814518143516133,1,1
2_q36.1,0.200897321629785,0.814518143516133,1,1
2_q36.2,0.200897321629785,0.814518143516133,1,1
2_q36.3,0.2454747368111,0.814518143516133,1,1
2_q37.1,0.2454747368111,1,1,1
2_q37.2,0.200897321629785,1,1,1
2_q37.3,0.450630106757857,1,1,1
3_p11.1,0.167793700698893,1,1,1
3_p11.2,0.200897321629785,1,1,1
3_p12.1,0.200897321629785,1,1,1
3_p12.2,0.2454747368111,1,1,1
3_p12.3,0.2454747368111,1,1,1
3_p13,0.2454747368111,1,1,1
3_p14.1,0.2454747368111,1,1,1
3_p14.2,0.200897321629785,1,1,1
3_p14.3,0.2454747368111,1,1,1
3_p21.1,0.200897321629785,1,1,1
3_p21.2,0.200897321629785,1,1,1
3_p21.31,0.2454747368111,1,1,1
3_p21.32,0.2454747368111,1,1,1
3_p21.33,0.2454747368111,1,1,1
3_p22.1,0.200897321629785,1,1,1
3_p22.2,0.2454747368111,1,1,1
3_p22.3,0.200897321629785,1,1,1
3_p23,0.200897321629785,1,1,1
3_p24.1,0.200897321629785,1,1,1
3_p24.2,0.200897321629785,1,1,1
3_p24.3,0.2454747368111,1,1,1
3_p25.1,0.2454747368111,1,1,1
3_p25.2,0.2454747368111,1,1,1
3_p25.3,0.2454747368111,0.814518143516133,1,1
3_p26.1,0.288492218877817,0.814518143516133,1,1
3_p26.2,0.288492218877817,0.814518143516133,1,1
3_p26.3,0.288492218877817,0.814518143516133,1,1
3_q11.1,0.167793700698893,1,1,1
3_q11.2,0.155380700196934,1,1,1
3_q12.1,0.167793700698893,1,1,1
3_q12.2,0.167793700698893,1,1,1
3_q12.3,0.167793700698893,1,1,1
3_q13.11,0.155380700196934,1,1,1
3_q13.12,0.155380700196934,1,1,1
3_q13.13,0.155380700196934,1,1,1
3_q13.2,0.152431549755998,1,1,1
3_q13.31,0.155380700196934,1,1,1
3_q13.32,0.155380700196934,1,1,1
3_q13.33,0.155380700196934,1,1,1
3_q21.1,0.167793700698893,1,1,1
3_q21.2,0.265598017803284,1,1,1
3_q21.3,0.200897321629785,1,1,1
3_q22.1,0.200897321629785,0.96898478929468,1,1
3_q22.2,0.268625968599438,0.96898478929468,1,1
3_q22.3,0.222124671381748,0.96898478929468,1,1
3_q23,0.411565461222662,1,1,1
3_q24,0.450630106757857,0.414587943347866,1,1
3_q25.1,0.450630106757857,0.696718737724965,1,1
3_q25.2,0.450630106757857,0.5564413670121,1,1
3_q25.31,0.400243195735948,0.696718737724965,1,1
3_q25.32,0.40006168150761,0.696718737724965,1,1
3_q25.33,0.439184119684435,0.96898478929468,1,1
3_q26.1,0.377960256493079,0.96898478929468,1,1
3_q26.2,0.361796439599617,1,1,1
3_q26.31,0.655354925357714,1,1,1
3_q26.32,0.450630106757857,1,1,1
3_q26.33,0.704791076976159,1,1,1
3_q27.1,0.648146141982874,1,1,1
3_q27.2,0.632141249535785,1,1,1
3_q27.3,0.678079078898783,0.96898478929468,1,1
3_q28,0.694172909179664,0.96898478929468,1,1
3_q29,0.793197311907104,0.96898478929468,1,1
4_p11,0.450630106757857,1,1,1
4_p12,0.450630106757857,1,1,1
4_p13,0.676623396500546,1,1,1
4_p14,0.655354925357714,1,1,1
4_p15.1,0.655354925357714,1,1,1
4_p15.2,0.450630106757857,1,1,1
4_p15.31,0.450630106757857,1,1,1
4_p15.32,0.450630106757857,1,1,1
4_p15.33,0.450630106757857,1,1,1
4_p16.1,0.450630106757857,1,1,1
4_p16.2,0.377960256493079,1,1,1
4_p16.3,0.288492218877817,1,1,1
4_q11,0.450630106757857,1,1,1
4_q12,0.450630106757857,1,1,1
4_q13.1,0.450630106757857,1,1,1
4_q13.2,0.450630106757857,1,1,1
4_q13.3,0.2454747368111,1,1,1
4_q21.1,0.450630106757857,1,1,1
4_q21.21,0.450630106757857,1,1,1
4_q21.22,0.655354925357714,1,1,1
4_q21.23,0.655354925357714,1,1,1
4_q21.3,0.655354925357714,1,1,1
4_q22.1,0.655354925357714,1,1,1
4_q22.2,0.655354925357714,1,1,1
4_q22.3,0.655354925357714,1,1,1
4_q23,0.655354925357714,1,1,1
4_q24,0.655354925357714,1,1,1
4_q25,0.655354925357714,0.814518143516133,1,1
4_q26,0.655354925357714,1,1,1
4_q27,0.450630106757857,1,1,1
4_q28.1,0.450630106757857,1,1,1
4_q28.2,0.450630106757857,1,1,1
4_q28.3,0.450630106757857,1,1,1
4_q31.1,0.450630106757857,1,1,1
4_q31.21,0.450630106757857,1,1,1
4_q31.22,0.450630106757857,1,1,1
4_q31.23,0.450630106757857,0.96898478929468,1,1
4_q31.3,0.450630106757857,1,1,1
4_q32.1,0.655354925357714,1,1,1
4_q32.2,0.655354925357714,1,1,1
